"constructor_name","total_wins"
"Ferrari","246"
"McLaren","180"
"Mercedes","127"
"Red Bull","120"
"Williams","114"
"Team Lotus","45"
"Renault","35"
"Benetton","27"
"Brabham","23"
"Tyrrell","23"
"Lotus-Climax","22"
"BRM","17"
"Cooper-Climax","12"
"Lotus-Ford","11"
"Alfa Romeo","11"
"Vanwall","10"
"Maserati","9"
"Matra-Ford","9"
"Ligier","9"
"Brawn","8"
"Brabham-Repco","8"
"Kurtis Kraft","5"
"McLaren-Ford","4"
"Jordan","4"
"Honda","3"
"March","3"
"Wolf","3"
"Watson","3"
"Brabham-Ford","2"
"Cooper-Maserati","2"
"Cooper","2"
"Brabham-Climax","2"
"Lotus F1","2"
"Epperly","2"
"BMW Sauber","1"
"Shadow","1"
"Stewart","1"
"AlphaTauri","1"
"Lotus-BRM","1"
"Racing Point","1"
"Hesketh","1"
"Penske","1"
"Kuzma","1"
"Eagle-Weslake","1"
"Alpine F1 Team","1"
"Toro Rosso","1"
"Porsche","1"
