"driver","driverid","laptimes","raceid","year","grand_prix"
"Adrian Sutil",16,"00:01:24.739",13,2009,"Italian Grand Prix"
"Alexander Wurz",25,"00:01:28.179",193,1998,"Argentine Grand Prix"
"Bruno Senna",811,"00:01:52.822",871,2012,"Belgian Grand Prix"
"Carlos Sainz",832,"00:01:05.619",1032,2020,"Styrian Grand Prix"
"Charles Leclerc",844,"00:01:19.232",1027,2019,"Mexican Grand Prix"
"Damon Hill",71,"00:01:20.093",235,1996,"Hungarian Grand Prix"
"Daniel Ricciardo",817,"00:01:18.063",931,2015,"Monaco Grand Prix"
"Daniil Kvyat",826,"00:01:26.948",952,2016,"Spanish Grand Prix"
"David Coulthard",14,"00:01:10.843",146,2001,"Austrian Grand Prix"
"Eddie Irvine",56,"00:01:20.382",180,1999,"Canadian Grand Prix"
"Esteban Gutiérrez",821,"00:01:26.217",884,2013,"Spanish Grand Prix"
"Felipe Massa",13,"00:01:13.736",35,2008,"Brazilian Grand Prix"
"Fernando Alonso",4,"00:01:07.694",1131,2024,"Austrian Grand Prix"
"George Russell",847,"00:00:55.404",1046,2020,"Sakhir Grand Prix"
"Gerhard Berger",77,"00:01:27.981",209,1997,"Argentine Grand Prix"
"Giancarlo Fisichella",21,"00:01:15.641",75,2005,"Spanish Grand Prix"
"Guanyu Zhou",855,"00:01:33.996",1098,2023,"Bahrain Grand Prix"
"Heikki Kovalainen",5,"00:01:27.418",18,2008,"Australian Grand Prix"
"Heinz-Harald Frentzen",49,"00:01:18.372",217,1997,"Hungarian Grand Prix"
"Jacques Villeneuve",35,"00:01:11.814",220,1997,"Austrian Grand Prix"
"Jarno Trulli",15,"00:01:34.556",4,2009,"Bahrain Grand Prix"
"Jean Alesi",55,"00:01:25.205",229,1996,"Monaco Grand Prix"
"Jenson Button",18,"00:01:16.956",847,2011,"Canadian Grand Prix"
"Juan Pablo Montoya",31,"00:01:11.473",107,2004,"Brazilian Grand Prix"
"Kamui Kobayashi",155,"00:01:34.608",868,2012,"British Grand Prix"
"Kevin Magnussen",825,"00:01:41.905",1003,2018,"Singapore Grand Prix"
"Kimi Räikkönen",8,"00:01:06.957",997,2018,"Austrian Grand Prix"
"Lando Norris",846,"00:01:07.475",1031,2020,"Austrian Grand Prix"
"Lewis Hamilton",1,"00:01:07.058",1058,2021,"Styrian Grand Prix"
"Mark Webber",17,"00:01:13.733",16,2009,"Brazilian Grand Prix"
"Max Verstappen",830,"00:01:06.2",1060,2021,"Austrian Grand Prix"
"Michael Schumacher",30,"00:01:08.337",113,2003,"Austrian Grand Prix"
"Mika Häkkinen",57,"00:01:12.107",183,1999,"Austrian Grand Prix"
"Nick Heidfeld",2,"00:01:15.987",27,2008,"German Grand Prix"
"Nico Hülkenberg",807,"00:01:39.824",950,2016,"Chinese Grand Prix"
"Nico Rosberg",3,"00:01:11.235",933,2015,"Austrian Grand Prix"
"Oscar Piastri",857,"00:01:25.072",1112,2023,"Italian Grand Prix"
"Pedro de la Rosa",37,"00:01:31.447",73,2005,"Bahrain Grand Prix"
"Pierre Gasly",842,"00:01:14.279",1015,2019,"Monaco Grand Prix"
"Ralf Schumacher",23,"00:01:15.693",143,2001,"Brazilian Grand Prix"
"Robert Kubica",9,"00:01:16.972",344,2010,"Canadian Grand Prix"
"Romain Grosjean",154,"00:01:26.25",864,2012,"Spanish Grand Prix"
"Rubens Barrichello",22,"00:01:10.399",98,2004,"United States Grand Prix"
"Sebastian Vettel",20,"00:01:15.192",342,2010,"Monaco Grand Prix"
"Sergio Pérez",815,"00:01:11.01",1071,2021,"SÃ£o Paulo Grand Prix"
"Timo Glock",10,"00:01:38.683",11,2009,"European Grand Prix"
"Valtteri Bottas",822,"00:01:10.54",1008,2018,"Brazilian Grand Prix"
"Vitaly Petrov",808,"00:01:29.165",343,2010,"Turkish Grand Prix"
"Yuki Tsunoda",852,"00:01:38.139",1116,2023,"United States Grand Prix"
