"raceid","year","grand_prix","driverid","driver","laptimes"
224,1996,"Australian Grand Prix",35,"Jacques Villeneuve","00:01:33.421"
225,1996,"Brazilian Grand Prix",71,"Damon Hill","00:01:21.547"
226,1996,"Argentine Grand Prix",55,"Jean Alesi","00:01:29.413"
227,1996,"European Grand Prix",71,"Damon Hill","00:01:21.363"
228,1996,"San Marino Grand Prix",71,"Damon Hill","00:01:28.931"
229,1996,"Monaco Grand Prix",55,"Jean Alesi","00:01:25.205"
230,1996,"Spanish Grand Prix",30,"Michael Schumacher","00:01:45.517"
231,1996,"Canadian Grand Prix",35,"Jacques Villeneuve","00:01:21.916"
232,1996,"French Grand Prix",35,"Jacques Villeneuve","00:01:18.61"
233,1996,"British Grand Prix",35,"Jacques Villeneuve","00:01:29.288"
234,1996,"German Grand Prix",71,"Damon Hill","00:01:46.504"
235,1996,"Hungarian Grand Prix",71,"Damon Hill","00:01:20.093"
236,1996,"Belgian Grand Prix",77,"Gerhard Berger","00:01:53.067"
237,1996,"Italian Grand Prix",30,"Michael Schumacher","00:01:26.11"
238,1996,"Portuguese Grand Prix",35,"Jacques Villeneuve","00:01:22.873"
239,1996,"Japanese Grand Prix",35,"Jacques Villeneuve","00:01:44.043"
207,1997,"Australian Grand Prix",49,"Heinz-Harald Frentzen","00:01:30.585"
208,1997,"Brazilian Grand Prix",35,"Jacques Villeneuve","00:01:18.397"
209,1997,"Argentine Grand Prix",77,"Gerhard Berger","00:01:27.981"
210,1997,"San Marino Grand Prix",49,"Heinz-Harald Frentzen","00:01:25.531"
211,1997,"Monaco Grand Prix",30,"Michael Schumacher","00:01:53.315"
212,1997,"Spanish Grand Prix",21,"Giancarlo Fisichella","00:01:22.242"
213,1997,"Canadian Grand Prix",14,"David Coulthard","00:01:19.635"
214,1997,"French Grand Prix",30,"Michael Schumacher","00:01:17.91"
215,1997,"British Grand Prix",30,"Michael Schumacher","00:01:24.475"
216,1997,"German Grand Prix",77,"Gerhard Berger","00:01:45.747"
217,1997,"Hungarian Grand Prix",49,"Heinz-Harald Frentzen","00:01:18.372"
218,1997,"Belgian Grand Prix",35,"Jacques Villeneuve","00:01:52.692"
219,1997,"Italian Grand Prix",57,"Mika Häkkinen","00:01:24.808"
220,1997,"Austrian Grand Prix",35,"Jacques Villeneuve","00:01:11.814"
221,1997,"Luxembourg Grand Prix",49,"Heinz-Harald Frentzen","00:01:18.805"
222,1997,"Japanese Grand Prix",49,"Heinz-Harald Frentzen","00:01:38.942"
223,1997,"European Grand Prix",49,"Heinz-Harald Frentzen","00:01:23.135"
191,1998,"Australian Grand Prix",57,"Mika Häkkinen","00:01:31.649"
192,1998,"Brazilian Grand Prix",57,"Mika Häkkinen","00:01:19.337"
193,1998,"Argentine Grand Prix",25,"Alexander Wurz","00:01:28.179"
194,1998,"San Marino Grand Prix",30,"Michael Schumacher","00:01:29.345"
195,1998,"Spanish Grand Prix",57,"Mika Häkkinen","00:01:24.275"
196,1998,"Monaco Grand Prix",57,"Mika Häkkinen","00:01:22.948"
197,1998,"Canadian Grand Prix",30,"Michael Schumacher","00:01:19.379"
198,1998,"French Grand Prix",14,"David Coulthard","00:01:17.523"
199,1998,"British Grand Prix",30,"Michael Schumacher","00:01:35.704"
200,1998,"Austrian Grand Prix",14,"David Coulthard","00:01:12.878"
201,1998,"German Grand Prix",14,"David Coulthard","00:01:46.116"
202,1998,"Hungarian Grand Prix",30,"Michael Schumacher","00:01:19.286"
203,1998,"Belgian Grand Prix",30,"Michael Schumacher","00:02:03.766"
204,1998,"Italian Grand Prix",57,"Mika Häkkinen","00:01:25.139"
205,1998,"Luxembourg Grand Prix",57,"Mika Häkkinen","00:01:20.45"
206,1998,"Japanese Grand Prix",30,"Michael Schumacher","00:01:40.19"
175,1999,"Australian Grand Prix",30,"Michael Schumacher","00:01:32.112"
176,1999,"Brazilian Grand Prix",57,"Mika Häkkinen","00:01:18.448"
177,1999,"San Marino Grand Prix",30,"Michael Schumacher","00:01:28.547"
178,1999,"Monaco Grand Prix",57,"Mika Häkkinen","00:01:22.259"
179,1999,"Spanish Grand Prix",30,"Michael Schumacher","00:01:24.982"
180,1999,"Canadian Grand Prix",56,"Eddie Irvine","00:01:20.382"
181,1999,"French Grand Prix",14,"David Coulthard","00:01:19.227"
182,1999,"British Grand Prix",57,"Mika Häkkinen","00:01:28.309"
183,1999,"Austrian Grand Prix",57,"Mika Häkkinen","00:01:12.107"
184,1999,"German Grand Prix",14,"David Coulthard","00:01:45.27"
185,1999,"Hungarian Grand Prix",14,"David Coulthard","00:01:20.699"
186,1999,"Belgian Grand Prix",57,"Mika Häkkinen","00:01:53.955"
187,1999,"Italian Grand Prix",23,"Ralf Schumacher","00:01:25.579"
188,1999,"European Grand Prix",57,"Mika Häkkinen","00:01:21.282"
189,1999,"Malaysian Grand Prix",30,"Michael Schumacher","00:01:40.267"
190,1999,"Japanese Grand Prix",30,"Michael Schumacher","00:01:41.319"
158,2000,"Australian Grand Prix",22,"Rubens Barrichello","00:01:31.481"
159,2000,"Brazilian Grand Prix",30,"Michael Schumacher","00:01:14.755"
160,2000,"San Marino Grand Prix",57,"Mika Häkkinen","00:01:26.523"
161,2000,"British Grand Prix",57,"Mika Häkkinen","00:01:26.217"
162,2000,"Spanish Grand Prix",57,"Mika Häkkinen","00:01:24.47"
163,2000,"European Grand Prix",30,"Michael Schumacher","00:01:22.269"
164,2000,"Monaco Grand Prix",57,"Mika Häkkinen","00:01:21.571"
165,2000,"Canadian Grand Prix",57,"Mika Häkkinen","00:01:19.049"
166,2000,"French Grand Prix",14,"David Coulthard","00:01:19.479"
167,2000,"Austrian Grand Prix",14,"David Coulthard","00:01:11.783"
168,2000,"German Grand Prix",22,"Rubens Barrichello","00:01:44.3"
169,2000,"Hungarian Grand Prix",57,"Mika Häkkinen","00:01:20.028"
170,2000,"Belgian Grand Prix",22,"Rubens Barrichello","00:01:53.803"
