"raceid","year","grand_prix","country","driverid","driver","nationality"
835,1950,"Indianapolis 500","USA",593,"Johnnie Parsons","USA"
839,1950,"Italian Grand Prix","Italy",642,"Nino Farina","Italy"
826,1951,"Indianapolis 500","USA",766,"Lee Wallard","USA"
831,1951,"Italian Grand Prix","Italy",647,"Alberto Ascari","Italy"
818,1952,"Indianapolis 500","USA",526,"Troy Ruttman","USA"
824,1952,"Italian Grand Prix","Italy",647,"Alberto Ascari","Italy"
809,1953,"Indianapolis 500","USA",657,"Bill Vukovich","USA"
799,1954,"Argentine Grand Prix","Argentina",579,"Juan Fangio","Argentina"
800,1954,"Indianapolis 500","USA",657,"Bill Vukovich","USA"
792,1955,"Argentine Grand Prix","Argentina",579,"Juan Fangio","Argentina"
794,1955,"Indianapolis 500","USA",628,"Bob Sweikert","USA"
797,1955,"British Grand Prix","UK",475,"Stirling Moss","UK"
784,1956,"Argentine Grand Prix","Argentina",579,"Juan Fangio","Argentina"
786,1956,"Indianapolis 500","USA",559,"Pat Flaherty","USA"
776,1957,"Argentine Grand Prix","Argentina",579,"Juan Fangio","Argentina"
778,1957,"Indianapolis 500","USA",611,"Sam Hanks","USA"
780,1957,"British Grand Prix","UK",475,"Stirling Moss","UK"
780,1957,"British Grand Prix","UK",479,"Tony Brooks","UK"
768,1958,"Indianapolis 500","USA",525,"Jimmy Bryan","USA"
771,1958,"British Grand Prix","UK",581,"Peter Collins","UK"
757,1959,"Indianapolis 500","USA",449,"Rodger Ward","USA"
748,1960,"Indianapolis 500","USA",509,"Jim Rathmann","USA"
733,1962,"British Grand Prix","UK",373,"Jim Clark","UK"
723,1963,"British Grand Prix","UK",373,"Jim Clark","UK"
713,1964,"British Grand Prix","UK",373,"Jim Clark","UK"
703,1965,"British Grand Prix","UK",373,"Jim Clark","UK"
696,1966,"Italian Grand Prix","Italy",375,"Ludovico Scarfiotti","Italy"
684,1967,"British Grand Prix","UK",373,"Jim Clark","UK"
661,1969,"British Grand Prix","UK",328,"Jackie Stewart","UK"
637,1971,"British Grand Prix","UK",328,"Jackie Stewart","UK"
606,1973,"Brazilian Grand Prix","Brazil",224,"Emerson Fittipaldi","Brazil"
591,1974,"Brazilian Grand Prix","Brazil",224,"Emerson Fittipaldi","Brazil"
577,1975,"Brazilian Grand Prix","Brazil",250,"Carlos Pace","Brazil"
578,1975,"South African Grand Prix","South Africa",222,"Jody Scheckter","South Africa"
