"raceid","year","grand_prix","country","driverid","driver","nationality"
833,1950,"British Grand Prix","UK",642,"Nino Farina","Italy"
834,1950,"Monaco Grand Prix","Monaco",579,"Juan Fangio","Argentina"
836,1950,"Swiss Grand Prix","Switzerland",642,"Nino Farina","Italy"
837,1950,"Belgian Grand Prix","Belgium",579,"Juan Fangio","Argentina"
838,1950,"French Grand Prix","France",579,"Juan Fangio","Argentina"
825,1951,"Swiss Grand Prix","Switzerland",579,"Juan Fangio","Argentina"
827,1951,"Belgian Grand Prix","Belgium",642,"Nino Farina","Italy"
828,1951,"French Grand Prix","France",579,"Juan Fangio","Argentina"
828,1951,"French Grand Prix","France",786,"Luigi Fagioli","Italy"
829,1951,"British Grand Prix","UK",498,"José Froilán González","Argentina"
830,1951,"German Grand Prix","Germany",647,"Alberto Ascari","Italy"
832,1951,"Spanish Grand Prix","Spain",579,"Juan Fangio","Argentina"
817,1952,"Swiss Grand Prix","Switzerland",641,"Piero Taruffi","Italy"
819,1952,"Belgian Grand Prix","Belgium",647,"Alberto Ascari","Italy"
820,1952,"French Grand Prix","France",647,"Alberto Ascari","Italy"
821,1952,"British Grand Prix","UK",647,"Alberto Ascari","Italy"
822,1952,"German Grand Prix","Germany",647,"Alberto Ascari","Italy"
823,1952,"Dutch Grand Prix","Netherlands",647,"Alberto Ascari","Italy"
808,1953,"Argentine Grand Prix","Argentina",647,"Alberto Ascari","Italy"
810,1953,"Dutch Grand Prix","Netherlands",647,"Alberto Ascari","Italy"
811,1953,"Belgian Grand Prix","Belgium",647,"Alberto Ascari","Italy"
812,1953,"French Grand Prix","France",578,"Mike Hawthorn","UK"
813,1953,"British Grand Prix","UK",647,"Alberto Ascari","Italy"
814,1953,"German Grand Prix","Germany",642,"Nino Farina","Italy"
815,1953,"Swiss Grand Prix","Switzerland",647,"Alberto Ascari","Italy"
816,1953,"Italian Grand Prix","Italy",579,"Juan Fangio","Argentina"
801,1954,"Belgian Grand Prix","Belgium",579,"Juan Fangio","Argentina"
802,1954,"French Grand Prix","France",579,"Juan Fangio","Argentina"
803,1954,"British Grand Prix","UK",498,"José Froilán González","Argentina"
804,1954,"German Grand Prix","Germany",579,"Juan Fangio","Argentina"
805,1954,"Swiss Grand Prix","Switzerland",579,"Juan Fangio","Argentina"
