"country","most_host_country"
"Italy","106"
"UK","80"
"Germany","79"
"USA","77"
"Monaco","70"
"Belgium","68"
"France","64"
"Spain","61"
"Canada","53"
"Brazil","50"
"Japan","40"
"Austria","39"
"Hungary","38"
"Australia","38"
"Netherlands","33"
"Mexico","23"
"South Africa","23"
"Argentina","21"
"Bahrain","21"
"Malaysia","19"
"Portugal","18"
"China","17"
"UAE","15"
"Singapore","14"
"Turkey","9"
"Russia","8"
"Azerbaijan","7"
"Sweden","6"
"Switzerland","5"
"Saudi Arabia","4"
"Korea","4"
"India","3"
"Qatar","2"
"Morocco","1"
