"raceid","year","grand_prix","country","driverid","driver","laptimes","constructor_name"
225,1996,"Brazilian Grand Prix","Brazil",71,"Damon Hill","00:01:21.547","Williams"
228,1996,"San Marino Grand Prix","Italy",71,"Damon Hill","00:01:28.931","Williams"
230,1996,"Spanish Grand Prix","Spain",30,"Michael Schumacher","00:01:45.517","Ferrari"
233,1996,"British Grand Prix","UK",35,"Jacques Villeneuve","00:01:29.288","Williams"
234,1996,"German Grand Prix","Germany",71,"Damon Hill","00:01:46.504","Williams"
237,1996,"Italian Grand Prix","Italy",30,"Michael Schumacher","00:01:26.11","Ferrari"
238,1996,"Portuguese Grand Prix","Portugal",35,"Jacques Villeneuve","00:01:22.873","Williams"
208,1997,"Brazilian Grand Prix","Brazil",35,"Jacques Villeneuve","00:01:18.397","Williams"
210,1997,"San Marino Grand Prix","Italy",49,"Heinz-Harald Frentzen","00:01:25.531","Williams"
211,1997,"Monaco Grand Prix","Monaco",30,"Michael Schumacher","00:01:53.315","Ferrari"
214,1997,"French Grand Prix","France",30,"Michael Schumacher","00:01:17.91","Ferrari"
216,1997,"German Grand Prix","Germany",77,"Gerhard Berger","00:01:45.747","Benetton"
220,1997,"Austrian Grand Prix","Austria",35,"Jacques Villeneuve","00:01:11.814","Williams"
191,1998,"Australian Grand Prix","Australia",57,"Mika Häkkinen","00:01:31.649","McLaren"
192,1998,"Brazilian Grand Prix","Brazil",57,"Mika Häkkinen","00:01:19.337","McLaren"
195,1998,"Spanish Grand Prix","Spain",57,"Mika Häkkinen","00:01:24.275","McLaren"
196,1998,"Monaco Grand Prix","Monaco",57,"Mika Häkkinen","00:01:22.948","McLaren"
197,1998,"Canadian Grand Prix","Canada",30,"Michael Schumacher","00:01:19.379","Ferrari"
199,1998,"British Grand Prix","UK",30,"Michael Schumacher","00:01:35.704","Ferrari"
202,1998,"Hungarian Grand Prix","Hungary",30,"Michael Schumacher","00:01:19.286","Ferrari"
205,1998,"Luxembourg Grand Prix","Germany",57,"Mika Häkkinen","00:01:20.45","McLaren"
176,1999,"Brazilian Grand Prix","Brazil",57,"Mika Häkkinen","00:01:18.448","McLaren"
177,1999,"San Marino Grand Prix","Italy",30,"Michael Schumacher","00:01:28.547","Ferrari"
159,2000,"Brazilian Grand Prix","Brazil",30,"Michael Schumacher","00:01:14.755","Ferrari"
162,2000,"Spanish Grand Prix","Spain",57,"Mika Häkkinen","00:01:24.47","McLaren"
163,2000,"European Grand Prix","Germany",30,"Michael Schumacher","00:01:22.269","Ferrari"
166,2000,"French Grand Prix","France",14,"David Coulthard","00:01:19.479","McLaren"
168,2000,"German Grand Prix","Germany",22,"Rubens Barrichello","00:01:44.3","Ferrari"
169,2000,"Hungarian Grand Prix","Hungary",57,"Mika Häkkinen","00:01:20.028","McLaren"
141,2001,"Australian Grand Prix","Australia",30,"Michael Schumacher","00:01:28.214","Ferrari"
144,2001,"San Marino Grand Prix","Italy",23,"Ralf Schumacher","00:01:25.524","Williams"
145,2001,"Spanish Grand Prix","Spain",30,"Michael Schumacher","00:01:21.151","Ferrari"
146,2001,"Austrian Grand Prix","Austria",14,"David Coulthard","00:01:10.843","McLaren"
148,2001,"Canadian Grand Prix","Canada",23,"Ralf Schumacher","00:01:17.205","Williams"
151,2001,"British Grand Prix","UK",57,"Mika Häkkinen","00:01:23.405","McLaren"
154,2001,"Belgian Grand Prix","Belgium",30,"Michael Schumacher","00:01:49.758","Ferrari"
128,2002,"Spanish Grand Prix","Spain",30,"Michael Schumacher","00:01:20.355","Ferrari"
129,2002,"Austrian Grand Prix","Austria",30,"Michael Schumacher","00:01:09.298","Ferrari"
135,2002,"German Grand Prix","Germany",30,"Michael Schumacher","00:01:16.462","Ferrari"
137,2002,"Belgian Grand Prix","Belgium",30,"Michael Schumacher","00:01:47.176","Ferrari"
138,2002,"Italian Grand Prix","Italy",22,"Rubens Barrichello","00:01:23.657","Ferrari"
139,2002,"United States Grand Prix","USA",22,"Rubens Barrichello","00:01:12.738","Ferrari"
140,2002,"Japanese Grand Prix","Japan",30,"Michael Schumacher","00:01:36.125","Ferrari"
111,2003,"San Marino Grand Prix","Italy",30,"Michael Schumacher","00:01:22.491","Ferrari"
113,2003,"Austrian Grand Prix","Austria",30,"Michael Schumacher","00:01:08.337","Ferrari"
118,2003,"British Grand Prix","UK",22,"Rubens Barrichello","00:01:22.236","Ferrari"
119,2003,"German Grand Prix","Germany",31,"Juan Pablo Montoya","00:01:14.917","Williams"
121,2003,"Italian Grand Prix","Italy",30,"Michael Schumacher","00:01:21.832","Ferrari"
122,2003,"United States Grand Prix","USA",30,"Michael Schumacher","00:01:11.473","Ferrari"
90,2004,"Australian Grand Prix","Australia",30,"Michael Schumacher","00:01:24.125","Ferrari"
92,2004,"Bahrain Grand Prix","Bahrain",30,"Michael Schumacher","00:01:30.252","Ferrari"
93,2004,"San Marino Grand Prix","Italy",30,"Michael Schumacher","00:01:20.411","Ferrari"
94,2004,"Spanish Grand Prix","Spain",30,"Michael Schumacher","00:01:17.45","Ferrari"
96,2004,"European Grand Prix","Germany",30,"Michael Schumacher","00:01:29.468","Ferrari"
99,2004,"French Grand Prix","France",30,"Michael Schumacher","00:01:15.377","Ferrari"
100,2004,"British Grand Prix","UK",30,"Michael Schumacher","00:01:18.739","Ferrari"
102,2004,"Hungarian Grand Prix","Hungary",30,"Michael Schumacher","00:01:19.071","Ferrari"
103,2004,"Belgian Grand Prix","Belgium",8,"Kimi Räikkönen","00:01:45.108","McLaren"
104,2004,"Italian Grand Prix","Italy",22,"Rubens Barrichello","00:01:21.046","Ferrari"
107,2004,"Brazilian Grand Prix","Brazil",31,"Juan Pablo Montoya","00:01:11.473","Williams"
77,2005,"European Grand Prix","Germany",4,"Fernando Alonso","00:01:30.711","Renault"
78,2005,"Canadian Grand Prix","Canada",8,"Kimi Räikkönen","00:01:14.384","McLaren"
79,2005,"United States Grand Prix","USA",30,"Michael Schumacher","00:01:11.497","Ferrari"
83,2005,"Hungarian Grand Prix","Hungary",8,"Kimi Räikkönen","00:01:21.219","McLaren"
88,2005,"Japanese Grand Prix","Japan",8,"Kimi Räikkönen","00:01:31.54","McLaren"
57,2006,"European Grand Prix","Germany",30,"Michael Schumacher","00:01:32.099","Ferrari"
60,2006,"British Grand Prix","UK",4,"Fernando Alonso","00:01:21.599","Renault"
