"year","total_points"
1950,"118"
1951,"133"
1952,"179"
1953,"190"
1954,"217.42"
1955,"136.33"
1956,"134.5"
1957,"150"
1958,"199"
1959,"148.5"
1960,"178"
1961,"143"
1962,"190"
1963,"302"
1964,"202"
1965,"286"
1966,"173"
1967,"235"
1968,"261"
1969,"305"
1970,"287"
1971,"301"
1972,"359"
1973,"476"
1974,"361"
1975,"331.5"
1976,"502"
1977,"464"
1978,"501"
1979,"370"
1980,"413"
1981,"381"
1982,"315"
1983,"384"
1984,"521"
1985,"436"
1986,"578"
1987,"532"
1988,"808"
1989,"520"
1990,"558"
1991,"676"
1992,"750"
1993,"732"
1994,"766"
1995,"779"
1996,"724"
1997,"643"
1998,"779"
1999,"567"
2000,"880"
2001,"796"
2002,"1023"
2003,"702"
2004,"1249"
2005,"1009"
2006,"1134"
2007,"1017"
2008,"798"
2009,"728"
2010,"2467"
2011,"3413"
2012,"2455"
2013,"3472"
2014,"3310"
2015,"3576"
2016,"3967"
2017,"3360"
2018,"3896"
2019,"4062"
2020,"2719"
2021,"4047.5"
2022,"4655"
2023,"6214"
2024,"1320"
